                        ,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,EngText,KorText,NextLineKey,AnimScene,AfterScript,DeathNote,LocTable,LocKey
3,32,139,main_door_open,Player,Main,,face_mad,text,It’s sad. But everything is\nand always will be a mystery.,"애석하지만 모든 게, 정말 모든 게 미지수야.",140,,,,Main_Ch6,M6_L0139
3,32,140,main_door_open,Player,Main,,,text,"Nevertheless, Dot. Nevertheless.","하지만 뭉치야, 하지만.",141,,,,Main_Ch6,M6_L0140
3,32,141,main_door_open,Player,Main,,face_blink,text,"If we want to truly connect, we have to\nhave at least a little faith in each other.",그렇기에 우리가 관계를 맺고 살아가려면 \n서로를 조금이라도 믿어야 한다는 거야.,142,,,,Main_Ch6,M6_L0141
3,32,142,main_door_open,Dot,Main,,,text,The faith that one day\nwe’ll overcome this ignorance.,"무지를 언젠가는 극복할 수 있다는 믿음,",143,,,,Main_Ch6,M6_L0142
3,32,143,main_door_open,Dot,Main,,,text,"That the way you look at me, at\nthe very least, is honest and true?",네가 날 바라볼 때의 눈빛만큼은\n진심을 그대로 투영할 것이라는 믿음 말이야?,144,,,,Main_Ch6,M6_L0143
3,32,144,main_door_open,Player,Main,,,text,"Yes, right. Even if we may witness\nthat faith crumbling at times,","응, 맞아. 종종 그 믿음이 무너지는 것을 목격할 때도",145,,,,Main_Ch6,M6_L0144
3,32,145,main_door_open,Player,Main,,,selection,I still think it will live on somewhere.|I still think it’s important we rebuild it.,우리의 믿음은 어딘가에 여전히 존재한다고 생각해.|우리가 믿음을 다시 쌓아 가는 게 중요하다고 생각해.,146|146,,,sun|moon,Main_Ch6,M6_L0145
3,32,146,main_door_open,Dot,Main,,,text,"So we put faith in others not because\nwe want to, but because we have to?",그러면 타인을 ‘믿고 싶어서’가\n아니라 ‘믿기 위해서’ 믿는 거야?,147,,,,Main_Ch6,M6_L0146
3,32,147,main_door_open,Player,Main,,,text,That’s one way of putting it.,아니라고 할 수가 없네.,148,,,,Main_Ch6,M6_L0147
3,32,148,main_door_open,Dot,Main,,face_eyeroll3,text,Faith as the only solution... It’s too\nharsh a truth for my restless soul.,그저 믿는 것만이 유일한 해답이라니...\n내 불안 가득한 마음에겐 너무 가혹한 이치야.,149,,,,Main_Ch6,M6_L0148
3,32,149,main_door_open,Player,Main,,face_blink,text,I don’t know if this will help... but\ntime can help more often than not.,위안이 될지는 모르겠지만...\n시간이 해결해 줄 때가 많기도 해.,150,,,,Main_Ch6,M6_L0149
3,32,150,main_door_open,Player,Main,,,text,Faith grows stronger with time.,믿음은 시간이 흐를수록 견고해지는 법이거든.,151,,,,Main_Ch6,M6_L0150
3,32,151,main_door_open,Player,Main,,,text,"So I hope that you stay by my side, and\nobserve what happens to your faith.","그러니까 내 옆에서, 너의 믿음에 어떠한\n일이 일어나는지 지켜봤으면 좋겠어.",152,,,,Main_Ch6,M6_L0151
3,32,152,main_door_open,Player,Main,,,text,Just as long as your time with me\nis worth all the restlessness...,물론 그 불안을 감당할 만큼\n나와의 시간이 즐거운 게 맞다면...,153,,,,Main_Ch6,M6_L0152
3,32,153,main_door_open,Dot,Main,,,text,.....,.....,154,,,,Main_Ch6,M6_L0153
3,32,154,main_door_open,Dot,Main,,,text,.....,.....,155,,,,Main_Ch6,M6_L0154
3,32,155,main_door_open,Dot,Main,body_bounce,,text,....!,....!,156,,,,Main_Ch6,M6_L0155
3,32,156,main_door_open,Dot,Main,body_default1,,text,.....,.....,157,,,,Main_Ch6,M6_L0156
3,32,157,main_door_open,Dot,Main,,,text,I can’t believe I made you worry\nabout something like that.,내가 너에게 그런 걱정을 하게 하다니.,158,,,,Main_Ch6,M6_L0157
3,32,158,main_door_open,Dot,Main,body_move,,text,"It’s worth it. It’s always been\nworth it, and it always will!",즐거워. 한순간도 즐겁지 않았던 적 없었어!,159,,,,Main_Ch6,M6_L0158
3,32,159,main_door_open,Dot,Main,body_default1,face_sad,text,"Oh, what have I almost done?","아, 내가 무슨 짓을 한 걸까?",160,,,,Main_Ch6,M6_L0159
3,32,160,main_door_open,Dot,Main,body_ch6_heartup,face_blink,text,"I was so afraid of fiction and the future that\nI almost pushed you, my dear friend, away.",허상과 미래를 두려워하느라 소중한\n친구인 너를 내 손으로 밀어낼 뻔했어.,161,,,,Main_Ch6,M6_L0160
3,32,161,main_door_open,Dot,Main,body_ch6_heart,,text,"When you, <nickname>, always\ntried to be my true friend.","<nickname>, 너는 언제나 나의 진실된\n친구가 되어 주려고 노력했는데.",162,,,,Main_Ch6,M6_L0161
3,32,162,main_door_open,Dot,Main,body_ch6_heart,,text,When I was comfortable and\nhappy during our time together.,나는 너와의 시간에서 가장 안락한\n즐거움을 느끼고 있었는데.,163,,,,Main_Ch6,M6_L0162
3,32,163,main_door_open,Dot,Main,body_ch6_heartdown,face_eyeroll3,text,To have hurt you so...,너에게 이렇게 돌이키기 힘든 상처를 주다니...,164,,,,Main_Ch6,M6_L0163
3,32,164,main_door_open,Dot,Main,body_default1,face_eyeroll3_stay,text,I really am no better than\na plastered gunk of tar.,이래서야 정말로 눌어붙은\n타르 덩어리와 다를 바 없잖아.,165,,,,Main_Ch6,M6_L0164
3,32,165,main_door_open,Player,Main,,,selection,(They do look alike...)|(But smarter and cuter.),(비슷하게 생긴 건 맞는걸...)|(타르 덩어리보단 똑똑하고 귀여워.),166|166,,,passive|active,Main_Ch6,M6_L0165
3,32,166,main_door_open,Dot,Main,,,text,"I’m sorry, <nickname>.","미안해, <nickname>.",167,,,,Main_Ch6,M6_L0166
3,32,167,main_door_open,Dot,Main,,face_blink,text,May I remain your sticky\ncreature friend as I have so far?,지금처럼 너의 끈적끈적한 괴물 친구로 남아도 될까?,168,,,,Main_Ch6,M6_L0167
3,32,168,main_door_open,Player,Main,,,selection,(Smile and nod.)|(Make fun of Dot.),(웃으며 끄덕인다.)|(장난을 친다.),169|173,,,passive|active,Main_Ch6,M6_L0168
3,32,169,main_door_open,Player,Main,,,text,Silly Dot. Of course.,바보 괴물. 당연하지.,170,,,,Main_Ch6,M6_L0169
3,32,170,main_door_open,Player,Main,,,text,That’s how you learn.,이렇게 하나씩 배워 가는 거야.,171,,,,Main_Ch6,M6_L0170
3,32,171,main_door_open,Player,Main,,,text,Congratulations on dealing with distinctly\nhuman emotions in a creature’s body!,괴물의 몸으로서 지극히 인간적인\n감정 소모를 하게 된 걸 축하해!,172,,,,Main_Ch6,M6_L0171
3,32,172,main_door_open,Dot,Main,body_rhythm,,text,"Yes, yes!","응, 응!",,,,,Main_Ch6,M6_L0172
3,32,173,main_door_open,Player,Main,body_default1,,text,Silly Dot.,바보 괴물.,174,,,,Main_Ch6,M6_L0173
3,32,174,main_door_open,Player,Main,,,text,"You can stay if you like,","남는 건 자유지만,",175,,,,Main_Ch6,M6_L0174
3,32,175,main_door_open,Player,Main,,,text,but I’ll always be jealous of\nyour imaginary ‘creature friend’.,내 마음엔 네 상상 속 ‘괴물 친구’에\n대한 질투도 함께 남게 될 거야.,176,,,,Main_Ch6,M6_L0175
3,32,176,main_door_open,Player,Main,,,text,So brace yourself.,각오해.,177,,,,Main_Ch6,M6_L0176
3,32,177,main_door_open,Dot,Main,body_bounce,face_squeeze,text,Oh no...!,안 돼...!,,,,,Main_Ch6,M6_L0177
